id;descriptor;start_date;end_date;is_exactly
1;Областной;2022-05-22T21:30:08;2022-05-23T00:36:44;false
2;Loan;2022-05-23T02:56:01;2022-05-23T00:58:11;false
3;Avon invoice Кожанный;2022-05-23T01:06:56;2022-05-23T01:18:37;false
4;platforms deposit;2022-05-22T23:26:28;2022-05-23T01:20:35;true
5;оранжевый Портмоне беспроводной;2022-05-23T10:36:51;2022-05-23T12:15:36;true
6;interactive;2022-05-23T16:41:29;2022-05-23T17:02:48;false
7;expedite evolve;2022-05-23T07:35:43;2022-05-23T19:36:30;false
8;архитектор;2022-05-23T06:38:10;2022-05-23T03:02:16;false
9;boliviano ул. withdrawal;2022-05-23T18:20:15;2022-05-23T03:31:59;false
10;architecture сохранить payment;2022-05-23T11:22:06;2022-05-23T19:57:05;true
